Pavarde                   Vardas         ND1         ND2         ND3         ND4         ND5         ND6         ND7         ND8         ND9        ND10        ND11        ND12        ND13        ND14        ND15        Egz.
Pavarde1                 Vardas1           3           5           1           6           1           9           1           1           9           8           8           9           2           4           2           8
Pavarde2                 Vardas2           2           6           6           7           2           1           8           7           7           7           1           2           5           1           8           4
Pavarde3                 Vardas3          10           7           7           6           5           6           5           4           6           9           1           6          10           7           7           9
Pavarde4                 Vardas4           3           8           4           6          10           7           1           8           3           5           9           5           9           3           6           7
Pavarde5                 Vardas5           6           9           4           9           4           1           6           6           8           3           3           8           5           6           7           8
Pavarde6                 Vardas6          10           1          10           7           6           7           1           9           2           5           8           4           4           6           8          10
Pavarde7                 Vardas7           5           8           6           8           5           6           1           5           9           8          10           7           9           3           2           6
Pavarde8                 Vardas8           2          10           8           1           7           7           1           6           4           8           9           8           8           1           3           9
Pavarde9                 Vardas9           9           8           4           8           4           7           1           4           6           7           3           3           7           5           1           7
Pavarde10               Vardas10           3           9           8           5           8           1           5          10           2           9           8           3           5           3           2          10
Pavarde11               Vardas11           4           9           8           1           3           3           3           8           8           6           5           5           7           7           3           8
Pavarde12               Vardas12           6           3           4           5           3           9          10           5           9           3           4           9           8           8           1          10
Pavarde13               Vardas13           3           8           1           3           3           9           8           1           7           9           6          10           8           1           3           7
Pavarde14               Vardas14           2           7           7           9           3           5           2           5           5           1           5           1           8           3           7           6
Pavarde15               Vardas15           7           9           3           5           3           7           2           9           8           2           1          10           4           3           5           5
Pavarde16               Vardas16           7           6          10           3           5           3           7           6           9           2           2           2           3           9           3           6
Pavarde17               Vardas17          10           4           7           2          10          10          10           4           8           7           7           7           5           7          10           1
Pavarde18               Vardas18          10           9           5           5           5           8           8           1           6           3           2           3           7           5           1           7
Pavarde19               Vardas19           4           2           8           8           8           5           5           9           6           4           9           5           6           6           2           9
Pavarde20               Vardas20           7           5           4           3           7           6           2           3           2           1           1           2           5           4           5           3
Pavarde21               Vardas21           8          10           3           3           2           2           9           3           5           3          10          10           3           9           9           9
Pavarde22               Vardas22           5          10           6           5           3           3           3           1           2           7           5           9          10           3           8           5
Pavarde23               Vardas23           2           5           9           3           1           6           4          10           8           8          10           1           4           6           2           3
Pavarde24               Vardas24           2           6           5           6           9           4           9           3           7           6          10           3           6           2           5           5
Pavarde25               Vardas25           5           3           2           2          10           9           7           3           4           8           7           1           1           6          10           4
Pavarde26               Vardas26           5           6           6           8           2           5           3           4           4           9           1           6           3           1           3           9
Pavarde27               Vardas27           1           4           9           7           6           7           5           3           4           1           6           1           9           5           8           9
Pavarde28               Vardas28           4          10           1           7           6           1          10           9           2           5          10           5           5           7           3           6
Pavarde29               Vardas29           6           5           9           2           6           9           3           1           1           7           7           7           5           6           1           8
Pavarde30               Vardas30           6          10           4           6           8           1           9           9           9           3           6           5          10           5           1           8
Pavarde31               Vardas31           5           2           4           2           4           9           5           1           4           7          10           3           5           5           4          10
Pavarde32               Vardas32           1           2           3           5           7           7           8           4           6          10           2           3           2           3          10           7
Pavarde33               Vardas33           5           8           3           9           5           7           6           5           6           8           8           5           1           2           7           3
Pavarde34               Vardas34           3           6           5           9           7           2           6           7           9           4          10           3           9           8           2           4
Pavarde35               Vardas35           1           7           1           3           9           3           9           7           2           8          10           4           2          10           5           9
Pavarde36               Vardas36           3           1           9           6           7           3           8           7           9           5           2           4           1           9           5           1
Pavarde37               Vardas37           9           7          10           9           7           6           5           9           2           1           2          10           9           9           2           2
Pavarde38               Vardas38           6           8           4           7           5           4           4           8           9           1           6           3           1           3           5           6
Pavarde39               Vardas39          10           4           4          10           6           1           4           9           7           1           1           4           4           9           7           2
Pavarde40               Vardas40           6           7          10           3           6           6           3           7           4           8           4           9           5           5           9           2
Pavarde41               Vardas41           8           9           3           9          10           1           6           8           1           5           3           5           7          10           6           4
Pavarde42               Vardas42           5           5           2           5           9           5          10           6           5           3           4           2          10           5           9           2
Pavarde43               Vardas43           8           8           7           6           7           6           6           6           2           2           1           2           4          10           5           7
Pavarde44               Vardas44           3           4           1           5           9           3           5           7           5           5           9           6           6           9          10           7
Pavarde45               Vardas45           8           2           3           2           8           6           9           3          10           2           5           3           6           1           9           8
Pavarde46               Vardas46           8           7          10           1           5           4           8           5           2           4          10          10           7           4           4          10
Pavarde47               Vardas47           2           1           2           7           9           8           6           7          10           2           4           2           4           6          10          10
Pavarde48               Vardas48           8          10           2           6           4          10          10           9           3           1           2           5           7           5           6           9
Pavarde49               Vardas49           7           5           1           9           1           9           1           4           5           7           3           3           8           5           8           8
Pavarde50               Vardas50           1           9           1           3           2          10           3           8           8           4           8           8           4           9           2           3
Pavarde51               Vardas51           6           5           1           1           2           9          10          10           9           3           7           6           6           6           6          10
Pavarde52               Vardas52           5           7           4           7           9          10           8           1           1           2           7           3           1           7           8           8
Pavarde53               Vardas53           9           8           5           1           3           7           5           1           4           2           2           2           4           3           2           4
Pavarde54               Vardas54           2           7          10           5           2           3           7           1          10           3          10           7          10           1           9           1
Pavarde55               Vardas55           4           8           3           3           5           4           4          10           4           3           8           9           2           2           2          10
Pavarde56               Vardas56           4           8           2           4           7           6           3           6           2           4           4           2           6           5          10           8
Pavarde57               Vardas57           5          10           1           8           9           9           5           7           8          10           3           9           1           6          10           8
Pavarde58               Vardas58           5          10          10           6           4          10           3           8           5           7           7           6           2           2           6           5
Pavarde59               Vardas59           8           5          10           2           3           4           6           9           3           6          10           6           2           5           1           8
Pavarde60               Vardas60           3           3           5           9          10           9           2          10           6           2           8           7           6           2           8           6
Pavarde61               Vardas61           9           2           1           6           3           6           4           6           4           7           2           7           2           1           6           8
Pavarde62               Vardas62           4           8           2           8           4          10           4           8          10           6           2           5           4           5           8           3
Pavarde63               Vardas63           4           8           7           9           1           1           8           5          10           3           9           4           1           3           2           9
Pavarde64               Vardas64           3           1          10           3           1           5           4           7           4          10           3           3          10           9           5           8
Pavarde65               Vardas65           9           1           6           3           4           9          10           6           2           2           1           2           5           5           1           2
Pavarde66               Vardas66          10          10          10           2          10           4           8           6           8           5           3           8           1           4           5           4
Pavarde67               Vardas67           9           6           7           1           1           3           5           5           2           7           4           7           2           6           5           1
Pavarde68               Vardas68           4          10           3           5           3           2           5          10           3           1           3           1          10           1           3           5
Pavarde69               Vardas69           5           5           3           4           9           1           2           4           7           3           7           4           5           3          10           9
Pavarde70               Vardas70           7           8           5           1           5           6           8          10           8           6           7           2           4           2           6           8
Pavarde71               Vardas71           1           3           7           4           5           8           8           8          10           8           1           5           9           8           7           8
Pavarde72               Vardas72           7           2           4           3           7           3           5           6          10           8           9           5           3           5           8           2
Pavarde73               Vardas73           9           2           7           7           3           5           2           9           3          10           4           3           7           6           6           2
Pavarde74               Vardas74           1           9           4           7           7           6           6           3           6           9           8           1          10           2          10           1
Pavarde75               Vardas75           7          10          10           6           6           2          10           9           1           9           8           1           3           8           6           8
Pavarde76               Vardas76           6           3           4           3           7          10           2           4           8           2           6           4           2           6          10           5
